Lease,Well Number,State,Formation/Reservoir, Initial Pressure Estimate (psi) , Reservoir Temperature (deg F) , Net Pay (ft) , Wellbore Diameter (ft) ,Porosity, Water Saturation , Oil Saturation , Gas Saturation , Gas Specific Gravity ,CO2, H2S ,N2,Condensate Yield (Bc/MMcf),Condensate Gravity (API), Dew Point Pressure (psi) ,Sep. Temperature (deg F),Sep. Pressure (psi), Oil Gravity (API) , Initial GOR (scf/bbl) , Bubble Point Pressure (psi) , TVD (ft) , Spacing ,# Stages,# Clusters ,# Clusters per Stage,Pre-Refrac Completion # Stages,Pre-Refrac Completion # Clusters ,Initian Completion # Clusters per Stage,# of Total Proppant (Lbs),Total Fluid (Bbls), Lateral Length (ft) , Top Perf (ft) , Bottom Perf (ft) , Sandface Temp (deg F) , Static Wellhead Temp (deg F) , Configuration ,Production Path,Pressure Loss Correlation, Tubing ID (in) , Tubing OD (in) , Tubing Depth (ft) , Casing ID 1 (in) , Casing Footage 1 (ft) , Casing ID 2 (in) , Casing Footage 2 (ft) , Casing Depth (ft) , Configuration Change (Days Since First Prod) ,Production Path.1,Pressure Loss Correlation.1, Tubing ID (in) .1, Tubing OD (in) .1, Tubing Depth (ft) .1, Casing ID 1 (in) .1, Casing Footage 1 (ft) .1, Casing ID 2 (in) .1, Casing Footage 2 (ft) .1, Casing Depth (ft) .1, Configuration Change (Days Since First Prod) .1,Production Path.2,Pressure Loss Correlation.2, Tubing ID (in) .2, Tubing OD (in) .2, Tubing Depth (ft) .2, Casing ID 1 (in) .2, Casing Footage 1 (ft) .2, Casing ID 2 (in) .2, Casing Footage 2 (ft) .2, Casing Depth (ft) .2, Configuration Change (Days Since First Prod) .2,Production Path.3,Pressure Loss Correlation.3, Tubing ID (in) .3, Tubing OD (in) .3, Tubing Depth (ft) .3, Casing ID 1 (in) .3, Casing Footage 1 (ft) .3, Casing ID 2 (in) .3, Casing Footage 2 (ft) .3, Casing Depth (ft) .3, Configuration Change (Days Since First Prod) .3,Production Path.4,Pressure Loss Correlation.4, Tubing ID (in) .4, Tubing OD (in) .4, Tubing Depth (ft) .4, Casing ID 1 (in) .4, Casing Footage 1 (ft) .4, Casing ID 2 (in) .4, Casing Footage 2 (ft) .4, Casing Depth (ft) .4, Description 
OSTRICH,23,PA,MARCELLUS,3486,115,102,0.7,0.07,0.3297,0.0013,0.669,0.57,0.0,0.0,0.0,,30.0,20000.0,100,100,30.0,591.61,20000.0,5707.639,,13,65,5.0,,,,7194425.0,,5210,5900,11110,115.0,65.0, Initial Config ,Tubing,Gray,2.441,2.875,5172.0,4.7780000000000005,11238,,,11238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," CLUSTER UNBOUND; Clean data, data suggest large drainage area, located in key Tier development Area "
EMU,24,PA,MARCELLUS,5531,143,132,0.7,0.0635,0.196,0.0,0.804,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,8489.07,1850.0,41,123,3.0,,,,18404917.0,,6098,8547,14645,143.3666,60.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,14664,,,14664.0,236.0,Tubing,Gray,2.44,2.875,8574.0,4.7780000000000005,14664.0,,,14664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CLUSTER BOUND; Modern Completion design 
DUCK,25,PA,MARCELLUS,3900,137,134,0.7,0.0694,0.3159,0.0,0.6840999999999999,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7543.37,1650.0,70,210,3.0,,,,31201810.0,,10429,8236,18665,136.9428,60.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,18684,,,18684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," PARENT; Modern Completion design, high IP, clean data, small portion depleted "
HERON,26,PA,MARCELLUS,3500,133,150,0.7,0.0744,0.2294,0.0,0.7706000000000001,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7184.88,1500.0,31,153,4.94,,,,12051645.0,,7404,7548,14952,133.0,80.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,15088,,,15088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," CLUSTER BOUND; co-developed, single bounded depletion "
STORK,27,PA,MARCELLUS,3000,133,150,0.7,0.0749,0.2103,0.0,0.7897,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7124.64,1400.0,23,112,4.87,,,,8680895.0,,5610,7542,13152,133.0,80.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,13232,,,13232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, CHILD BOUND; double bounded depletion 
SWAN,28,PA,MARCELLUS,4500,134,150,0.7,0.0711,0.3107999999999999,0.0,0.6892,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7372.0,1300.0,42,208,4.95,,,,16477745.0,,10299,7398,17697,134.0,80.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,17821,,,17821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," CHILD BOUND; co-developed, single bound depletion "
PARROT,29,PA,MARCELLUS,4750,135,148,0.7,0.0708,0.3093,0.0,0.6907,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7367.95,1250.0,39,193,4.95,,,,15197373.0,,9520,7749,17269,135.0,80.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,17389,,,17389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," PARENT; co-developed, no depletion "
CRANE,30,PA,MARCELLUS,5538,146,134,0.7,0.0636,0.3484,0.0,0.6516,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,8733.51,830.0,33,147,4.45,,,,15087050.0,,7275,8910,16185,143.12929630000002,60.0, Initial Config ,Tubing,Gray,1.995,2.375,7804.0,4.7780000000000005,16200,,,16200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," CLUSTER UNBOUND; co-devoloped, 830' inner-well spacing, modelling shows greater than 1000' ; unbounded to east "
IBIS,31,PA,MARCELLUS,5508,146,134,0.7,0.0637,0.3489,0.0,0.6511,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,8757.909,830.0,33,151,4.58,,,,13598370.0,,7389,8399,15788,143.23094019999996,60.0, Initial Config ,Tubing,Gray,1.995,2.375,8111.0,4.7780000000000005,15803,,,15803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," CLUSTER UNBOUND; co-devoloped, 830' inner-well spacing, modelling shows greater than 1000' ; unbounded to east "
EGRET,32,PA,MARCELLUS,5227,134,143,0.7,0.0810999999999999,0.4359,0.0,0.5640999999999999,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7441.235,,14,70,5.0,,,,8605550.0,,5584,7580,13164,133.74,60.0, Initial Config ,Tubing,Gray,2.441,2.875,7299.0,4.7780000000000005,13274,,,13274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, unbounded; Largest CUM in Marcellus 
PHEASANT,33,PA,MARCELLUS,4450,130,142,0.7,0.0786,0.3928,0.0,0.6072,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,6721.11,1800.0,40,127,3.17,,,,18250968.0,,5954,6747,12701,130.16,60.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,12831,,,12831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," SINGLE; Modern Completion design, high Ark and clean data "
MACAW,34,PA,MARCELLUS - UPPER,4609,135,164,0.7,0.0652,0.27,0.0,0.73,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7662.86,1500.0,51,253,5.0,,,,25754836.0,,9447,7748,17195,135.0,80.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,17331,,,17331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
FLAMINGO,35,PA,MARCELLUS - UPPER,4500,135,164,0.7,0.0652,0.27,0.0,0.73,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,7651.15,1500.0,47,233,5.0,,,,24374215.0,,9218,7779,16997,135.0,80.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,17140,,,17140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
PEACOCK,36,PA,MARCELLUS - UPPER,3150,125,231,0.7,0.0675,0.27,0.0,0.73,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,6936.15,1500.0,75,373,5.0,,,,38875334.0,,13011,6948,19959,125.0,60.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,20088,,,20088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
PENGUIN,37,PA,MARCELLUS - UPPER,3400,125,232,0.7,0.0672,0.26,0.0,0.74,0.57,0.0,0.0,0.0,,30.0,,100,100,30.0,,,6944.14,1500.0,52,258,5.0,,,,26695450.0,,12940,7193,20133,125.0,60.0, Initial Config ,Casing,Gray,,,,4.7780000000000005,20263,,,20263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1500' innerwell unbounded exterior 
