PICKS,DEPTH
HORDALAND GP. Top,2600.0
Ty Fm. Top,2624.0
Ekofisk Fm. Top,2794.5
Hod Fm. Top,3118.0
Draupne Fm. Top,3525.8
Heather Fm. Top,3574.9
Heather Fm. Sand VOLVE Top,3585.2
Hugin Fm. VOLVE Top,3594.6
Sleipner Fm. Top,3702.0
