azi,md,tvd,incl,dispNs,dispEw,TVD_calc,surfNs,surfEw
107.19,4242.1,3128.2681,79.01,283.4029,1185.6947,3128.2680655414947,6478846.932804444,436235.7147234995
106.62,4282.7,3136.0463,78.9,271.8157,1223.8206,3136.0462702715217,6478835.3456033915,436273.84060317173
106.47,4322.7,3143.7232,78.97,260.6367,1261.4516,3143.723173739924,6478824.166633646,436311.4716370316
106.91,4362.4,3151.8177,77.5,249.4754,1298.6793,3151.817742743739,6478813.005298544,436348.69929711934
107.23,4403.7,3161.3045,75.94,237.6771,1337.103,3161.3044968806357,6478801.207014582,436387.12301926344
107.82,4443.4,3170.0012,78.75,226.0131,1374.0364,3170.00117256292,6478789.543065699,436424.05648630555
108.06,4483.8,3177.7825,79.04,213.8021,1411.7524,3177.7825222415954,6478777.332009509,436461.7724633119
107.51,4524.2,3185.9439,77.65,201.7164,1449.4273,3185.9439155967175,6478765.246313355,436499.4473294323
107.84,4564.9,3193.8139,80.05,189.5929,1487.471,3193.8138552178307,6478753.122790533,436537.4910890553
108.48,4605.403,3200.1182,82.04,177.1232,1525.4852,3200.11824614663,6478740.65313866,436575.5052166848
108.37,4645.7049,3205.6993,82.04,164.508,1563.3527,3205.699324644954,6478728.037930161,436613.3727586118
107.27,4671.0,3209.7608,79.48,156.8674,1587.1191,3209.7607501326274,6478720.397304005,436637.13916685194
